Test for Addition
xxxxxxxx  xxxxxxxx  xxxxxxxx  x
00000001  00000001  00000002  0
ffffffff  00000001  00000000  1
80000000  80000000  00000000  1
7fffffff  00000001  80000000  0
12345678  87654321  99999999  0
Test for Subtraction
00000001  00000001  00000000  1
00000000  00000001  ffffffff  0
80000000  00000001  7fffffff  0
7fffffff  ffffffff  80000000  0
12345678  87654321  8acf1357  0
Test for Bitwise AND
ffffffff  ffffffff  ffffffff  0
ffffffff  00000000  00000000  1
12345678  87654321  02244220  0
aaaaaaaa  55555555  00000000  1
00000001  00000001  00000001  0
Test for Bitwise OR
ffffffff  ffffffff  ffffffff  0
ffffffff  00000000  ffffffff  0
12345678  87654321  97755779  0
aaaaaaaa  55555555  ffffffff  0
00000001  00000001  00000001  0
Test for Bitwise XOR
ffffffff  ffffffff  00000000  1
ffffffff  00000000  ffffffff  0
12345678  87654321  95511559  0
aaaaaaaa  55555555  ffffffff  0
00000001  00000001  00000000  1
Test for Left Shift
00000001  00010001  00000002  0
00000001  0000001f  80000000  0
ffffffff  01000005  ffffffe0  0
12345678  00000004  23456780  0
80000000  00a00001  00000000  1
Test for Arithmetic Right Shift
80000000  0000b001  c0000000  0
ffffffff  0c00001f  ffffffff  0
7fffffff  00000001  3fffffff  0
12345678  00088004  01234567  0
80000000  00f0001f  ffffffff  0
Test for Logical Right Shift
80000000  00ab0001  40000000  0
ffffffff  0000001f  00000001  0
7fffffff  0000c001  3fffffff  0
12345678  12300004  01234567  0
80000000  0000001f  00000001  0
